đậu| chat "adau" để auto đậu cho đệ
ô, trống| Ô trống thứ nhất là phụ kiện pet ( Mua ở shop santa bằng nhẫn quý tộc hoặc cày các sự kiện hàng tháng). Ô trống kế cuối là phụ kiện Ngọc bội ( Mua shop santa hoặc đi NRSD 3s để nhận )
skh, kích hoạt, kích hoạt, kh| Set kích hoạt thường 10s up quái 3 map đầu làng. Set kích hoạt vip nhận free từ code. Các set kích hoạt khác thì đến bà hạt mít ở Đảo có hướng dẫn tạo. Ngoài ra có thể mua ở shop santa
ngục tù| hành tinh ngục tù ( chat map để di chuyển nhanh) . thần điện -> kaio -> thánh địa -> hành tinh bill -> hành tinh ngục tù
Hồng ngọc, hn, hngoc| Hồng ngọc nhận free ở nhà
mất, lỗi|  Các vật phẩm: nhẫn quý tộc, hoa bỉ ngạn, ngân phiếu sẽ chuyển thành điểm như vàng, ngọc và được hiền thị ở mục nhiệm vụ
Thức ăn, đồ ăn| Set thần linh up quái ở cold là up rơi nhé
Chiến Thần| Thông tin Siêu Đệ Chiến Thần chi tiết tại: http://ngocrongmarid.online/bai-viet?id=64
IP server: marid:14.225.202.16:14445:0,0,0   vudang: thêm |225
Khuyễn mãi, km|Chi tiết khuyến mãi: http://ngocrongmarid.online/bai-viet?id=207
skill, hiển thị|Để hiện thị ( load ô skill ) như mong muốn, bạn cần gắn skill sau đó thoát game vào lại là được nhé
yêu cầu, không đủ, mang đồ| yêu cầu sức mạnh mang set kích hoạt vip là 10 tỏi
